OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_ASIAN_PI_NH,COUNT_BLACK_NH,COUNT_HISPANIC,COUNT_MULTIRACIAL_NH,COUNT_WHITE_NH,PERCENT_ASIAN_PI_NH,PERCENT_BLACK_NH,PERCENT_HISPANIC,PERCENT_MULTIRACIAL_NH,PERCENT_WHITE_NH,Shape__Area,Shape__Length
102,42101010200,2010,Census tract,3187,8,3056,34,44,20,0.25101977,95.8895513,1.06683401,1.38060872,0.62754942,614691.11328125,3212.65961893169
103,42101010300,2010,Census tract,2449,12,2302,57,59,10,0.48999592,93.99755002,2.3274806,2.40914659,0.40832993,479455.8515625,3111.36730615815
104,42101010400,2010,Census tract,3332,5,3082,113,41,72,0.15006002,92.4969988,3.39135654,1.2304922,2.16086435,806354.890625,4269.75772110373
105,42101010500,2010,Census tract,3746,20,3462,84,63,95,0.53390283,92.41857982,2.24239188,1.68179391,2.53603844,1121039.54296875,5393.73005368987
106,42101010600,2010,Census tract,1476,35,1326,15,53,37,2.37127371,89.83739837,1.01626016,3.59078591,2.50677507,452442.94921875,3150.92247206559
107,42101010700,2010,Census tract,3562,10,3345,79,36,67,0.28074116,93.9079169,2.21785514,1.01066816,1.88096575,784907.42578125,4049.59322015056
108,42101010800,2010,Census tract,3611,46,3116,87,84,252,1.27388535,86.2918859,2.4093049,2.32622542,6.97867627,998249.38671875,4921.31150413629
109,42101010900,2010,Census tract,2313,75,1723,58,39,397,3.24254215,74.49200173,2.50756593,1.68612192,17.16385646,422949.48828125,2769.32126643098
110,42101011000,2010,Census tract,3470,8,3206,98,55,92,0.23054755,92.39193084,2.82420749,1.58501441,2.65129683,806161.359375,4411.08595343312
111,42101011100,2010,Census tract,3712,38,3451,82,43,63,1.0237069,92.96875,2.20905172,1.15840517,1.69719828,2218687.7421875,6751.45502903193
112,42101011200,2010,Census tract,5494,17,5190,100,117,38,0.30942847,94.46669094,1.82016746,2.12959592,0.69166363,857810.671875,3710.62350915926
113,42101011300,2010,Census tract,2917,15,2759,49,61,22,0.51422695,94.58347617,1.67980802,2.09118958,0.75419952,571021.8515625,3196.59220759814
114,42101011400,2010,Census tract,6126,51,5618,134,126,148,0.83251714,91.70747633,2.18739798,2.05680705,2.41593209,1658933.58203125,5544.26502659636
115,42101011500,2010,Census tract,4282,41,3646,154,75,350,0.9574965,85.14712751,3.59645026,1.75151798,8.17375058,631735.109375,3196.49576541398
116,42101011700,2010,Census tract,1931,29,713,57,36,1093,1.50181253,36.92387364,2.95183843,1.86431901,56.60279648,1117951.2265625,4731.60704640904
117,42101011800,2010,Census tract,5621,32,5211,94,94,152,0.56929372,92.70592421,1.6723003,1.6723003,2.70414517,1560700.3046875,7042.46133726008
118,42101011900,2010,Census tract,5195,38,4769,127,107,127,0.73147257,91.79980751,2.44465833,2.05967276,2.44465833,1178591.75390625,5578.06730184994
119,42101012000,2010,Census tract,1947,52,1058,64,39,720,2.67077555,54.34001027,3.28710837,2.00308166,36.97996918,1024355.44140625,4090.56913496656
